"numprec","region","metro","relate","age","sex","race","marst","bpl","sch","educ99","empstat","classwkr","wkswork1","uhrswork","incwage","ftype","annhrs","hrwage","adj_ind","adj_occ2name"
3,"Mountain Division","Not in metro area","Spouse",31,"Male","White nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,78000,"Primary family",2080,37.5,"Support activities for mining","Consruction, Extraction, Installation"
2,"Pacific Division","In metro area, outside central / principal city","Head/Householder",59,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,42,65000,"Primary family",2184,29.761905670166,"Rail transportation","Consruction, Extraction, Installation"
4,"West South Central Div.","In metro area, outside central / principal city","Spouse",35,"Male","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 1","At work","Wage/salary, private sector",52,45,65000,"Primary family",2340,27.7777786254883,"Management, scientific and technical consulting services","Managers"
2,"Mountain Division","Not in metro area","Roomers/boarders/lodgers",51,"Male","White nonhisp","Married, spouse absent","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",32,36,8000,"Secondary individual",1152,6.94444465637207,"Department stores and discount stores","Consruction, Extraction, Installation"
2,"West North Central Div.","In metro area, outside central / principal city","Head/Householder",60,"Male","Black nonhisp","Never married/single","United States","Advanced degree","Doctoral degree","At work","State govt employee",52,50,120000,"Nonfamily householder",2600,46.1538467407227,"Not avaliable","Business Operators"
2,"East South Central Div.","In metro area, outside central / principal city","Spouse",29,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,40000,"Primary family",2080,19.230770111084,"Real estate","Office and Admin Support"
4,"Middle Atlantic Division","In metro area, outside central / principal city","Spouse",59,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Local govt employee",48,30,3500,"Primary family",1440,2.43055558204651,"Elementary and secondary schools","Protective Service adj_occupations"
4,"South Atlantic Division","In metro area, central / principal city","Head/Householder",53,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,30000,"Primary family",2080,14.4230766296387,"Household appliance stores","Office and Admin Support"
3,"Middle Atlantic Division","In metro area, central / principal city","Spouse",47,"Male","Other nonhisp","Married, spouse present","China","Advanced degree","Doctoral degree","At work","Wage/salary, private sector",52,38,60000,"Primary family",1976,30.364372253418,"Hospitals","Computer and Math Technicians"
1,"Pacific Division","Central / Principal city status unknown","Head/Householder",62,"Male","White nonhisp","Divorced","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,52500,"Nonfamily householder",2080,25.240385055542,"Individual and family services","Managers"
4,"Mountain Division","In metro area, outside central / principal city","Head/Householder",38,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,50,95000,"Primary family",2600,36.538459777832,"Construction","Managers"
3,"West North Central Div.","In metro area, outside central / principal city","Head/Householder",51,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,40,115000,"Primary family",2080,55.288459777832,"Aerospace product and parts manufacturing","Business Operators"
3,"West North Central Div.","In metro area, outside central / principal city","Unmarried Partner",31,"Male","White nonhisp","Never married/single","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,70002,"Secondary individual",2080,33.6548080444336,"Cement, concrete, lime, and gypsum product manufacturing","Transportation and materials moving"
6,"West South Central Div.","In metro area, central / principal city","Head/Householder",43,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,45,250000,"Primary family",2340,106.837608337402,"Securities, commodities, funds, trusts, and other financial investments","financial Operators"
4,"South Atlantic Division","In metro area, outside central / principal city","Spouse",52,"Male","Other nonhisp","Married, spouse present","China","Advanced degree","Master's degree","At work","Federal govt employee",52,40,150000,"Primary family",2080,72.1153869628906,"Commercial, industrial, and other intangible assets rental and leasing","Computer and Math Technicians"
5,"East South Central Div.","In metro area, outside central / principal city","Head/Householder",38,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,60,50000,"Primary family",3120,16.0256404876709,"Seafood and other miscellaneous foods, n.e.c.","Transportation and materials moving"
4,"Middle Atlantic Division","In metro area, central / principal city","Sibling",38,"Male","Hispanic","Married, spouse absent","Dominican Republic","Grade 10","10th grade","At work","Wage/salary, private sector",20,20,10000,"Related subfamily",400,25,"Grocery stores","Transportation and materials moving"
4,"New England Division","Central / Principal city status unknown","Head/Householder",42,"Male","White nonhisp","Never married/single","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,46000,"Primary family",2080,22.115385055542,"Ship and boat building","Consruction, Extraction, Installation"
3,"West North Central Div.","Not in metro area","Head/Householder",39,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,55002,"Primary family",2080,26.4432697296143,"Cement, concrete, lime, and gypsum product manufacturing","Transportation and materials moving"
1,"East North Central Div.","In metro area, outside central / principal city","Head/Householder",54,"Male","Black nonhisp","Never married/single","United States","Some collage","Some collage","At work","Local govt employee",42,13,8000,"Nonfamily householder",546,14.6520147323608,"Not avaliable","Protective Service adj_occupations"
5,"West North Central Div.","In metro area, outside central / principal city","Spouse",38,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,60,80000,"Primary family",3120,25.6410255432129,"Construction","Consruction, Extraction, Installation"
6,"West South Central Div.","In metro area, outside central / principal city","Head/Householder",48,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,120000,"Primary family",2080,57.6923065185547,"Architectural, engineering, and related services","Managers"
3,"Pacific Division","In metro area, outside central / principal city","Unmarried Partner",35,"Male","White nonhisp","Never married/single","United States","Grade 12","High school","At work","Wage/salary, private sector",52,60,33600,"Secondary individual",3120,10.7692308425903,"Restaurants and other food services","Transportation and materials moving"
5,"South Atlantic Division","Central / Principal city status unknown","Child",26,"Male","Other nonhisp","Never married/single","Vietnam","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,19000,"Primary family",2080,9.13461494445801,"Restaurants and other food services","Managers"
4,"Pacific Division","In metro area, central / principal city","Head/Householder",40,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,50,130000,"Primary family",2600,50,"Electronic component and product manufacturing, n.e.c.","Business Operators"
